nicotine-333084906697662465	noADR
nicotine-332310968916914176	noADR
nicotine-333566996346204160	noADR
quetiapine-332423203983085570	noADR
nicotine-334399187053592576	noADR
nicotine-333424031569178624	noADR
nicotine-333855292066504705	noADR
nicotine-333522062603870208	noADR
nicotine-333683201564372995	noADR
nicotine-333424173164679168	noADR
trazodone-332684216569577472	noADR
nicotine-333404027981295616	noADR
nicotine-333696052978925571	noADR
nicotine-333373488993804289	noADR
fluoxetine-326488219355074560	noADR
nicotine-333640652543909888	noADR
nicotine-332775823637614592	noADR
fluoxetine-330354532527792129	noADR
nicotine-333201608886349825	noADR
fluoxetine-328604133277958144	noADR
nicotine-333261842325581824	noADR
trazodone-327155316112384000	noADR
nicotine-333514974737604609	noADR
nicotine-333485434908848129	noADR
nicotine-333391979050315778	noADR
fluoxetine-326398219192000512	noADR
nicotine-333302000244629505	noADR
trazodone-330177726973612033	noADR
nicotine-332342443653595136	noADR
olanzapine-327128443756109824	noADR
nicotine-333087345890959361	noADR
nicotine-332304030044917761	noADR
nicotine-334766246593691648	noADR
nicotine-334487198801993728	noADR
nicotine-332302172198940672	noADR
venlafaxine-334372445169520640	hasADR
nicotine-333069306613092354	noADR
venlafaxine-326732768149135360	hasADR
quetiapine-327829186637078528	noADR
fluoxetine-334248758978170880	noADR
trazodone-327430731611643904	noADR
levofloxacin-327946686737567746	noADR
nicotine-332663458577383425	noADR
nicotine-333126529779367936	noADR
nicotine-333050550704816128	noADR
nicotine-333404954796642305	noADR
fluoxetine-334172020369657859	noADR
nicotine-333318548715880448	noADR
nicotine-333674867599757313	noADR
nicotine-333029943694995456	noADR
nicotine-333287520940986369	noADR
nicotine-333306072800559104	noADR
olanzapine-332080029926313984	noADR
fluoxetine-329347997739646977	noADR
quetiapine-329167049882492929	noADR
nicotine-334554052358705152	hasADR
nicotine-333968212515512320	noADR
quetiapine-329759686507253760	noADR
nicotine-332964054945648640	noADR
nicotine-333427741003231233	noADR
alendronate-327108928951431168	noADR
nicotine-333359510192283648	noADR
nicotine-333172870664568832	noADR
nicotine-333036606602764288	noADR
fluoxetine-331215450333667328	noADR
fluoxetine-331498127645368322	noADR
olanzapine-330748521814818816	noADR
nicotine-334306956766494720	noADR
nicotine-333043424485863425	noADR
quetiapine-329167967537483777	noADR
nicotine-333145823191904257	noADR
nicotine-333049824494632960	noADR
nicotine-333491892819984384	noADR
levofloxacin-332558185632239616	noADR
nicotine-333151193356460033	noADR
olanzapine-327789632651685888	noADR
trazodone-334506951692136448	noADR
nicotine-333272378824089600	noADR
nicotine-334561213688205312	noADR
nicotine-333226486448398336	noADR
nicotine-333367637188952065	noADR
nicotine-333820184605360128	noADR
trazodone-328647468633948161	noADR
nicotine-333537339148210176	noADR
quetiapine-327504720304422913	noADR
nicotine-332278242557956096	noADR
nicotine-333584647084724225	noADR
nicotine-332665803612753922	noADR
quetiapine-330100230135640065	noADR
nicotine-333441079275831296	noADR
nicotine-333482179768233985	noADR
trazodone-326897563217309697	noADR
nicotine-332324960670478337	noADR
nicotine-334494491157352448	noADR
olanzapine-328244815726772224	noADR
trazodone-332990862952919040	noADR
nicotine-333105304067776512	noADR
nicotine-333445882752151552	noADR
trazodone-334492053725667328	noADR
nicotine-332288734340976641	noADR
nicotine-333428698546044928	noADR
nicotine-334454305753022464	noADR
nicotine-334692188887871488	noADR
nicotine-333408086347878400	noADR
